Force,ANSYS,WORK,ANSYS2,WORK2
0.560000000000001,2.09313,2.086205,2.11009,2.10309
0.52,2.09045,2.08351,2.10736,2.10035
0.48,2.087765,2.080815,2.10463,2.0976
0.44,2.08509,2.07812,2.10191,2.09486
0.4,2.082405,2.075425,2.09918,2.09212
0.359999999999999,2.079725,2.07273,2.09645,2.08938
0.32,2.07704,2.07003,2.09372,2.08663
0.279999999999999,2.074355,2.067335,2.09099,2.08389
0.24,2.071675,2.064635,2.08826,2.08114
0.199999999999999,2.06899,2.06194,2.08553,2.0784
0.16,2.066305,2.05924,2.0828,2.07565
0.119999999999999,2.063625,2.056545,2.08007,2.07291
0.08,2.06094,2.05384,2.07734,2.07016
0.039999999999999,2.058255,2.051145,2.07461,2.06742
0,2.05557,2.048445,2.07188,2.06467
-0.039999999999999,2.05289,2.04574,2.06915,2.06192
-0.08,2.050205,2.04304,2.06642,2.05917
-0.119999999999999,2.04752,2.040335,2.06369,2.05642
-0.16,2.044835,2.03764,2.06096,2.05368
-0.199999999999999,2.042145,2.034935,2.05822,2.05093
-0.24,2.03946,2.03223,2.05549,2.04818
-0.279999999999999,2.036775,2.029525,2.05276,2.04543
-0.32,2.03409,2.026825,2.05003,2.04268
-0.359999999999999,2.0314,2.02412,2.04729,2.03993
-0.4,2.02871,2.021415,2.04456,2.03718
-0.44,2.026025,2.018705,2.04183,2.03442
-0.48,2.023335,2.016,2.03909,2.03167
-0.52,2.02064,2.013295,2.03635,2.02892
-0.560000000000001,2.017955,2.01058,2.03362,2.02616
-0.6,2.01526,2.007875,2.03088,2.02341
-0.640000000000001,2.012575,2.00517,2.02815,2.02066
-0.68,2.00988,2.002455,2.02541,2.0179
-0.720000000000001,2.007185,1.99975,2.02267,2.01515
-0.76,2.0045,1.997035,2.01994,2.01239
-0.800000000000001,2.001805,1.994325,2.0172,2.00963
-0.84,1.99911,1.991615,2.01446,2.00688
-0.880000000000001,1.996425,1.988905,2.01173,2.00412
-0.92,1.99373,1.986195,2.00899,2.00137
-0.960000000000001,1.991035,1.983485,2.00625,1.99861
-1,1.988345,1.98077,2.00352,1.99585
-1.04,1.98565,1.978055,2.00078,1.99309
-1.08,1.982955,1.975345,1.99804,1.99034
-1.12,1.98026,1.972635,1.9953,1.98758
-1.16,1.977565,1.96992,1.99256,1.98482
-1.2,1.97487,1.967205,1.98982,1.98206
-1.24,1.972175,1.96449,1.98708,1.9793
-1.28,1.96948,1.96178,1.98434,1.97655
-1.32,1.966785,1.959065,1.9816,1.97379
-1.36,1.96409,1.95635,1.97886,1.97103
-1.4,1.96139,1.953635,1.97612,1.96827
-1.44,1.958695,1.95092,1.97338,1.96551
-1.48,1.955995,1.9482,1.97063,1.96275
-1.52,1.953295,1.94548,1.96789,1.95998
-1.56,1.950595,1.942765,1.96515,1.95722
-1.6,1.947895,1.940045,1.9624,1.95446
-1.64,1.945195,1.93733,1.95966,1.9517
-1.68,1.94249,1.934615,1.95691,1.94894
-1.72,1.93979,1.93189,1.95417,1.94617
-1.76,1.93709,1.929175,1.95142,1.94341
-1.8,1.93439,1.926455,1.94868,1.94065
-1.84,1.931685,1.92373,1.94593,1.93788
-1.88,1.928985,1.921015,1.94319,1.93512
-1.92,1.92628,1.918295,1.94044,1.93236
-1.96,1.923575,1.91557,1.93769,1.92959
-2,1.92087,1.912855,1.93494,1.92683
-2.04,1.91817,1.91013,1.9322,1.92406
-2.08,1.91546,1.90741,1.92945,1.9213
-2.12,1.912755,1.904685,1.9267,1.91853
-2.16,1.91005,1.901965,1.92395,1.91577
-2.2,1.90735,1.89924,1.92121,1.913
-2.24,1.90464,1.896525,1.91846,1.91024
-2.28,1.901935,1.8938,1.91571,1.90747
-2.32,1.89923,1.89108,1.91296,1.90471
-2.36,1.89652,1.88835,1.91021,1.90194
-2.4,1.89381,1.885625,1.90746,1.89917
-2.44,1.8911,1.882905,1.9047,1.89641
-2.48,1.88839,1.88018,1.90195,1.89364
